CarParkRef,CarParkName,URL,MinimumCost,Note,Easting,Northing
929823,Redbridge Park and Ride,http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJ,60,Maximum stay 24 hours (unless arranged),452007,203646
929824,Seacourt Car Park (Park and Ride),http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJ,60,Maximum stay 24 hours (unless arranged),449157,206344
929825,Thornhill Car Park (Park And Ride),http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJ,0,Maximum stay 72 hours,456615,207365
929826,Water Eaton Park and Ride,http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJ,0,Maximum stay 72 hours,450203,211632
929689,Car Park,http://www.cornwall.gov.uk,,,182859,44513
929695,Barnstaple Park and Ride,http://www.devon.gov.uk/index/transport/parking/park_and_ride.htm,0,Service operates: 07:00 to 18:40 Monday to Saturday,256315,131859
929703,Dorchester Park and Ride (Football Stadium),http://www.dorsetforyou.com/index.jsp?articleid=1795,100,All day parking; service operates on Wednesdays 08:00 to 17:45,368663,89153
929715,The Copse Park and Ride,http://www.swindon.gov.uk/roadstransport/roadsandtransport-carparking/roadsandtransport-parkandride.htm,0,The car park is open from 06:45 to 19:15 on Mondays to Saturdays,415451,188611
929716,Wroughton Park and Ride,http://www.swindon.gov.uk/roadstransport/roadsandtransport-carparking/roadsandtransport-parkandride.htm,0,The car park is open from 06:45 to 19:15 on Mondays to Saturdays,415127,182320
929717,St Oswalds Park Park and Ride,http://www.gloucestershire.gov.uk/index.cfm?articleID=1888,0,Service times: 06:30 to 18:56 Monday to Friday; 07:30 to 18:38 on Saturdays,382924,219377
929718,Waterwells Park and Ride,http://www.gloucestershire.gov.uk/index.cfm?articleID=1888,0,"Operates: 06:45 to Monday - Friday 07:20 to 19:00, Saturday 08:00 to 17:50",380984,213132
929737,Arle Court Park and Ride,http://www.cheltenham.gov.uk/libraries/templates/ourservice.asp?URN=2886&FolderID=0,0,"Operates: Monday - Friday 07:20 to 19:00, Saturday 08:00 to 17:50",391077,221639
929738,Stonehaven Park and Ride,http://www.aberdeenshire.gov.uk/publictransport/parkandride/,0,,386435,786168
929744,Coypool Park and Ride,http://www.plymouth.gov.uk/homepage/transportandstreets/publictransport/parkandride.htm,,,252106,56924
929745,Milehouse Park and Ride,http://www.plymouth.gov.uk/homepage/transportandstreets/publictransport/parkandride.htm,,,247009,56533
929748,A4 Bath Road Park and Ride,http://www.bristol-city.gov.uk/parkandride,0,Car park closes: Monday to Friday (except Thursday) at 19:45; Thursday at 21:00; Saturday at 19:45,362635,170033
929749,Long Ashton Park and Ride,http://www.bristol-city.gov.uk/parkandride,0,Car park closes: Monday to Friday (except Thursday) at 19:45; Thursday at 21:00; Saturday at 18:45,355961,170929
929750,A4 Portway Park and Ride,http://www.bristol-city.gov.uk/parkandride,0,Car park closes: Monday to Friday at 20:00 and Saturday at 19:30,352355,176970
929757,Beehive Park and Ride,http://www.salisbury.gov.uk/transport/park-and-ride/,200,Site opening and closing: Monday–Friday 06:45 to 20:00; Saturday 07:15 to 19:30; Sundays and Bank holidays: closed,414389,133346
929758,Britford Park and Ride,http://www.salisbury.gov.uk/transport/park-and-ride/,200,Site opening and closing: Monday–Friday 06:45 to 20:00; Saturday 07:15 to 19:30; Sundays and Bank holidays: closed,415213,128157
929759,Wilton Park and Ride,http://www.salisbury.gov.uk/transport/park-and-ride/,200,Site opening and closing: Monday–Friday 06:45 to 20:00; Saturday 07:15 to 19:30; Sundays and Bank holidays: closed,410683,132240
929768,Lansdown Park and Ride,http://www.bathnes.gov.uk/BathNES/transportandroads/Parking/parkandride/default.htm,0,,373224,168074
929769,Newbridge Park and Ride,http://www.bathnes.gov.uk/BathNES/transportandroads/Parking/parkandride/default.htm,0,,371836,165742
929770,Odd Down Park and Ride,http://www.bathnes.gov.uk/BathNES/transportandroads/Parking/parkandride/default.htm,0,,373366,161601
929799,Honiton Road Park and Ride,http://www.exeter.gov.uk/index.aspx?articleid=1510,0,,296275,92655
929800,Matford Park and Ride,http://www.exeter.gov.uk/index.aspx?articleid=1510,0,,292747,89508
929801,Sowton Park and Ride,http://www.exeter.gov.uk/index.aspx?articleid=1510,0,,296299,91726
929802,Digby Park and Ride,http://www.exeter.gov.uk/index.aspx?articleid=1510,0,,295868,91430
929735,Racecourse Park and Ride,http://www.cheltenham.gov.uk/libraries/templates/ourservice.asp?URN=2886&FolderID=0,0,"Operates: Mon - Fri 07:30 to 18:15, Sat 08:30 to 18:15",395406,225343
929736,Ellon Park and Ride,http://www.aberdeenshire.gov.uk/publictransport/parkandride/,0,Service times: 06:08 to 23:00 Monday to Friday; 06:13 to 23:00 Saturdays; 09:10 to 23:00 Sundays,397592,830769
929693,Aberystwyth Park and Ride,http://www.ceredigion.gov.uk/index.cfm?articleid=1133,0,"Monday - Saturday, 08.00 - 18:00",258548,281409
