"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300PHD","Liverpool Pier Head Ferry Terminal",333850,390285,"25/05/2010","386",
"9300PHY","Rock Padstow Ferry Landing",192838,75813,"25/05/2010","386",
"9300PLN","Port Ellen Islay Ferry Terminal",136360,645105,"25/05/2010","386",
"9300PLY","Plymouth Ferry Terminal",246705,53885,"25/05/2010","386",
"9300PMB","Plymouth Mount Batten Ferry Landing",248580,53405,"25/05/2010","386",
"9300PMC","Portsmouth Continental Ferry Terminal",464276,101702,"25/05/2010","386",
"9300PMH","Portsmouth Harbour Station Pier",462877,100086,"25/05/2010","386",
"9300PMT","East Portlemouth Ferry Landing",274325,38705,"25/05/2010","386",
"9300POC","Portsmouth Car Ferry Terminal",463050,99738,"25/05/2010","386",
"9300POL","Polruan Ferry Landing",212568,51068,"25/05/2010","386",
"9300PON","Ponsharden Ferry Landing",179435,33974,"25/05/2010","386",
"9300POP","Poole Quay Ferry Landing",401125,90250,"25/05/2010","386",
"9300POU","Pooley Bridge Ullswater Ferry Landing",346657,524199,"25/05/2010","386",
"9300POV","Poole Ferry Terminal",400573,89892,"25/05/2010","386",
"9300PPR","Porth Penrhyn Ferry Landing",261719,315016,"25/05/2010","386",
"9300PRA","Port Ramsay Lismore Ferry Terminal",189435,746125,"25/05/2010","386",
"9300PRE","Portree Ferry Terminal",148462,843368,"25/05/2010","386",
"9300PST","Papa Stour Shetland Ferry Terminal",418174,1160847,"25/05/2010","386",
"9300PTD","Portishead Pier",347720,177595,"25/05/2010","386",
"9300PTH","Penarth Pier",319120,171290,"25/05/2010","386",
"9300PTM","Muck Ferry Terminal",142265,779320,"25/05/2010","386",
"9300PUT","Putney Pier",524033,175744,"25/05/2010","386",
"9300PWL","Westray Pierowall Orkney Ferry Terminal",344670,1048995,"25/05/2010","386",
"9300PWY","Papa Westray Orkney Ferry Terminal",349364,1049280,"25/05/2010","386",
"9300RAA","Raasay Ferry Terminal",155505,834135,"25/05/2010","386",
"9300RAP","Rapness Orkney Ferry Terminal",351136,1040553,"25/05/2010","386",
"9300RAY","Rothesay Ferry Terminal",208847,664805,"25/05/2010","386",
"9300RFW","Renfrew Ferry Terminal",251040,668395,"25/05/2010","386",
"9300RHM","Reedham Ferry Norfolk",640800,301430,"25/05/2010","386",
"9300RHU","Rhubodach Bute Ferry Terminal",202713,674243,"25/05/2010","386",
"9300RLS","Richmond - Ham House Ferry Landing",517316,173284,"25/05/2010","386",
"9300RMG","Ramsgate Ferry Terminal",637950,164215,"25/05/2010","386",
"9300RMY","Ramsey Island Ferry Landing",170627,223703,"25/05/2010","386",
"9300ROU","Rousay Orkney Ferry Terminal",343655,1027475,"25/05/2010","386",
"9300ROY","Rosyth Ferry Terminal",310397,682087,"25/05/2010","386",
"9300RSH","Richmond St. Helena Pier",517796,174505,"25/05/2010","386",
"9300RYD","Ryde Pier Head Ferry Terminal",459328,93645,"25/05/2010","386",
"9300RYH","Ryde Hoverport",459499,92894,"25/05/2010","386",
"9300SCG","Scoraig Ferry Landing",199994,896176,"25/05/2010","386",
"9300SCO","Sconser Isle Of Skye Ferry Terminal",152593,832300,"25/05/2010","386",
"9300SCR","Scrabster Ferry Terminal",310389,970300,"25/05/2010","386",
"9300SCY","Scalloway Shetland Ferry Terminal",440310,1139110,"25/05/2010","386",
"9300SDN","Shaldon Teignmouth Ferry Landing",293656,72216,"25/05/2010","386",
"9300SEA","Seacombe Ferry Terminal",332540,390810,"25/05/2010","386",
"9300SHP","Shepperton Ferry Landing",507464,165978,"25/05/2010","386",
"9300SHS","Sharpness Old Docks",366795,203055,"25/05/2010","386",
"9300SHY","Shotley Point Marina Ferry Landing",625218,233837,"25/05/2010","386",
"9300SKO","Skomer Island Ferry Landing",173486,209493,"25/05/2010","386",
"9300SLC","Salcombe Ferry Landing",274133,38870,"25/05/2010","386",
"9300SMH","St Margarets Hope Ferry Terminal",344578,994262,"25/05/2010","386",
"9300SNS","Stromness Orkney Ferry Terminal",325605,1009330,"25/05/2010","386",
"9300SOP","Southampton Passenger Ferry Terminal",441914,110713,"25/05/2010","386",
"9300SOS","Southsea Hoverport",463545,98784,"25/05/2010","386",
"9300SOV","Southampton Vehicle Ferry Terminal",441852,110859,"25/05/2010","386",
"9300SPY","Shapinsay Orkney Ferry Terminal",347890,1016387,"25/05/2010","386",
"9300SQF","South Queensferry Ferry Landing",313609,678580,"25/05/2010","386",
"9300SSD","South Sands Ferry Landing",272980,37625,"25/05/2010","386",
"9300SSH","South Shields Ferry Terminal",435920,567150,"25/05/2010","386",
"9300STA","Starcross Ferry Landing",297780,81750,"25/05/2010","386",
"9300STC","St Katharine's Pier",533780,180337,"25/05/2010","386",
"9300STJ","St. Justinian Ferry Landing",172325,225092,"25/05/2010","386",
"9300STO","Stornoway Lewis Ferry Terminal",142372,932546,"25/05/2010","386",
"9300STR","Stranraer Ferry Terminal",206295,561178,"25/05/2010","386",
"9300STY","Stronsay Orkney Ferry Terminal",365891,1028578,"25/05/2010","386",
"9300SUM","Grutness Shetland Ferry Terminal",440497,1110136,"25/05/2010","386",
"9300SWA","Swansea Queens Dock Ferry Terminal",266710,192185,"25/05/2010","386",
"9300SWD","Sandbanks Ferry Terminal",403720,87085,"25/05/2010","386",
"9300SWK","Bankside Pier",532207,180572,"25/05/2010","386",
"9300SWO","Southwold Ferry Landing",650045,275080,"25/05/2010","386",
"9300SYM","Whalsay Shetland Ferry Terminal",453731,1162375,"25/05/2010","386",
"9300SYP","Savoy Pier",530595,180527,"25/05/2010","386",
"9300TAB","Tarbert Harris Ferry Terminal",115775,899810,"25/05/2010","386",
"9300TAV","Tayvallich (Argyll & Bute) Ferry Terminal",174239,687259,"25/05/2010","386",
