"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G323","London (Elephant & Castle)",532122,179039,"09/02/2007 07:22:56","25/05/2010","386"
"G324","Failsworth",389084,401197,"23/02/2007 07:52:35","25/05/2010","386"
"G325","Falmouth",180733,32504,"09/02/2007 07:22:56","25/05/2010","386"
"G326","Fareham",457476,106217,"09/02/2007 07:22:56","25/05/2010","386"
"G327","Farnham",484285,146716,"23/02/2007 07:52:35","25/05/2010","386"
"G328","Filey",511370,480690,"09/02/2007 07:22:56","25/05/2010","386"
"G329","Flimby",302050,533800,"09/02/2007 07:22:56","25/05/2010","386"
"G33","Wigan",358150,405500,"14/08/2003 16:42:00","25/05/2010","386"
"G330","Flint",324500,373100,"09/02/2007 07:22:56","25/05/2010","386"
"G331","Garve",239446,861465,"13/02/2007 16:58:06","25/05/2010","386"
"G332","Gillingham (Dorset)",380961,126290,"09/02/2007 07:22:56","25/05/2010","386"
"G333","Gleneagles",292863,710723,"09/02/2007 07:22:56","25/05/2010","386"
"G334","Gobowen ",330400,333400,"09/02/2007 07:22:56","25/05/2010","386"
"G335","Golspie",283105,899882,"09/02/2007 07:22:56","25/05/2010","386"
"G336","Goole",474010,423900,"09/02/2007 07:22:56","25/05/2010","386"
"G337","Goring-by-Sea",510923,103012,"09/02/2007 07:22:56","25/05/2010","386"
"G338","Grange-over-Sands",341200,478100,"09/02/2007 07:22:56","25/05/2010","386"
"G339","Great Malvern",377908,245908,"09/02/2007 07:22:56","25/05/2010","386"
"G34","Worcester",385350,255200,"05/02/2007 08:41:53","25/05/2010","386"
"G340","Greenock",227474,676228,"09/02/2007 07:22:56","25/05/2010","386"
"G342","Hamilton",272200,655200,"23/02/2007 07:52:35","25/05/2010","386"
"G343","Harlow",544664,210329,"09/02/2007 07:22:56","25/05/2010","386"
"G344","Havant",471801,106460,"09/02/2007 07:22:56","25/05/2010","386"
"G345","Haverfordwest",195674,215666,"09/02/2007 07:22:56","25/05/2010","386"
"G346","Hayle",155866,37245,"09/02/2007 07:22:56","25/05/2010","386"
"G347","Hazel Grove",391980,386750,"09/02/2007 07:22:56","25/05/2010","386"
"G348","Helmsdale",302678,915399,"09/02/2007 07:22:56","25/05/2010","386"
"G349","Hemel Hempstead",505516,206366,"09/02/2007 07:22:56","25/05/2010","386"
