"Exchange Point ID","Tiploc Code","CRS Code","Station Name","Easting","Northing","Date of Issue","Issue Version","NaPTAN","Group ID"
"R0000045","ALLENSW","ALW","Allens West Rail Station",441449,514558,"25/05/2010","386","9100ALLENSW",
"R0000047","ALNESS","ASS","Alness Rail Station",266000,869400,"25/05/2010","386","9100ALNESS","G208"
"R0000048","ALNMOTH","ALM","Alnmouth Rail Station",423100,611000,"25/05/2010","386","9100ALNMOTH",
"R0000049","ALRESFD","ALR","Alresford (Essex) Rail Station",606474,221512,"25/05/2010","386","9100ALRESFD","G312"
"R0000050","ALSAGER","ASG","Alsager Rail Station",380100,355100,"25/05/2010","386","9100ALSAGER",
"R0000051","ALTHORN","ALN","Althorne Rail Station",590524,197929,"25/05/2010","386","9100ALTHORN",
"R0000052","ALTPE","ALP","Althorpe Rail Station",484000,410600,"25/05/2010","386","9100ALTPE",
"R0000053","ALTNBRC","ABC","Altnabreac Rail Station",300340,945680,"25/05/2010","386","9100ALTNBRC",
"R0000054","ALTON","AON","Alton Rail Station",472352,139697,"25/05/2010","386","9100ALTON","G209"
"R0000055","ALTRNHM","ALT","Altrincham Rail Station",377013,387923,"25/05/2010","386","9100ALTRNHM","G210"
"R0000056","ALVCHRC","ALV","Alvechurch Rail Station",402300,272000,"25/05/2010","386","9100ALVCHRC",
"R0000057","AMBERGT","AMB","Ambergate Rail Station",434900,351600,"25/05/2010","386","9100AMBERGT",
"R0000058","AMLY","AMY","Amberley Rail Station",502632,111812,"25/05/2010","386","9100AMLY",
"R0000059","AMERSHM","AMR","Amersham Rail Station",496379,198188,"25/05/2010","386","9100AMERSHM",
"R0000060","AMMANFD","AMF","Ammanford Rail Station",262400,212700,"25/05/2010","386","9100AMMANFD",
"R0000062","ANCASTR","ANC","Ancaster Rail Station",498400,344400,"25/05/2010","386","9100ANCASTR",
"R0000063","ANDRSTN","AND","Anderston Rail Station",257900,665300,"25/05/2010","386","9100ANDRSTN",
"R0000064","ANDOVER","ADV","Andover Rail Station",435565,145938,"25/05/2010","386","9100ANDOVER","G211"
"R0000065","ANERLEY","ANZ","Anerley Rail Station",534605,169900,"25/05/2010","386","9100ANERLEY",
"R0000066","ANGELRD","AGR","Angel Road Rail Station",535200,192200,"25/05/2010","386","9100ANGELRD",
"R0000067","ANGMRNG","ANG","Angmering Rail Station",506513,102979,"25/05/2010","386","9100ANGMRNG",
