"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300MPT","Millport Pier Ferry Terminal",216080,654721,"22/01/2013","1058",
"9300MSB","Hengistbury Head Ferry Landing",418238,91275,"22/01/2013","1058",
"9300MTN","Transporter Bridge North Side",450039,521371,"22/01/2013","1058",
"9300MTS","Transporter Bridge South Side",449945,521217,"22/01/2013","1058",
"9300MYF","Bressay Shetland Ferry Terminal",448772,1141721,"22/01/2013","1058",
"9300NCL","Newcastle International Ferry Terminal",435320,566590,"22/01/2013","1058",
"9300NDY","Sanday Orkney Ferry Terminal",360305,1033972,"22/01/2013","1058",
"9300NEL","Hilton Docklands Nelson Dock Pier",536623,180234,"22/01/2013","1058",
"9300NGG","Nigg Ferry Terminal",279665,868770,"22/01/2013","1058",
"9300NHV","Newhaven Harbour Ferry Terminal",544911,100976,"22/01/2013","1058",
"9300NHY","North Hoy Orkney Ferry Terminal",324550,1003955,"22/01/2013","1058",
"9300NIC","Hawes End Derwentwater Ferry Landing",325106,521290,"22/01/2013","1058",
"9300NLE","Nichol End (Derwentwater) Ferry Landing",325437,522843,"22/01/2013","1058",
"9300NMC","Falmouth Ntl Maritime Museum Ferry Landing",181400,32450,"22/01/2013","1058",
"9300NOS","Noss Mayo Ferry Landing",254023,47788,"22/01/2013","1058",
"9300NPT","Newport (S Wales) Ferry Terminal",332370,185485,"22/01/2013","1058",
"9300NRO","North Ronaldsay Orkney Ferry Terminal",375028,1052223,"22/01/2013","1058",
"9300NSH","North Shields Ferry Terminal",435630,567840,"22/01/2013","1058",
"9300NWF","Newton Ferrers Ferry Landing",253949,47998,"22/01/2013","1058",
"9300OBA","Oban Ferry Terminal",185585,729800,"22/01/2013","1058",
"9300ODD","Oddsta Shetland Ferry Terminal",458266,1194277,"22/01/2013","1058",
"9300OKF","Oban Kerrera Ferry",183467,728286,"22/01/2013","1058",
"9300ONP","Oban North Pier Ferry Terminal",185827,730139,"22/01/2013","1058",
"9300OUT","Out Skerries Shetland Ferry Terminal",468864,1171630,"22/01/2013","1058",
"9300PAD","Padstow Ferry Landing",192022,75565,"22/01/2013","1058",
"9300PAK","Port Askaig Islay Ferry Terminal",143140,669235,"22/01/2013","1058",
"9300PAP","Port Appin Ferry Terminal",190215,745365,"22/01/2013","1058",
"9300PAV","Portavadie Ferry Terminal",192630,669790,"22/01/2013","1058",
"9300PBA","Plymouth (Barbican) Landing Stage",248314,53931,"22/01/2013","1058",
"9300PCL","Point Clear Ferry Landing",608409,215886,"22/01/2013","1058",
"9300PED","Pembroke Dock Ferry Terminal",195990,203917,"22/01/2013","1058",
"9300PEN","Penzance Ferry Terminal",147822,30108,"22/01/2013","1058",
"9300PHD","Liverpool Pier Head Ferry Terminal",333850,390285,"22/01/2013","1058",
"9300PHY","Rock Padstow Ferry Landing",192800,75770,"22/01/2013","1058",
"9300PIE","Piel Island Ferry Landing",323366,463793,"22/01/2013","1058",
"9300PLN","Port Ellen Islay Ferry Terminal",136360,645105,"22/01/2013","1058",
"9300PLQ","Plantation Quay Ferry Landing",256693,665185,"22/01/2013","1058",
"9300PLY","Plymouth Ferry Terminal",246705,53885,"22/01/2013","1058",
"9300PMB","Plymouth Mount Batten Ferry Landing",248580,53405,"22/01/2013","1058",
"9300PMC","Portsmouth Continental Ferry Terminal",464276,101702,"22/01/2013","1058",
"9300PMH","Portsmouth Harbour Station Pier",462877,100086,"22/01/2013","1058",
"9300PMT","East Portlemouth Ferry Landing",274325,38705,"22/01/2013","1058",
"9300POC","Portsmouth IOW Car Ferry Terminal",463103,99640,"22/01/2013","1058",
"9300POL","Polruan Ferry Landing",212568,51068,"22/01/2013","1058",
"9300PON","Ponsharden Ferry Landing",179585,33980,"22/01/2013","1058",
"9300POP","Poole Quay Ferry Landing",401125,90250,"22/01/2013","1058",
"9300POU","Pooley Bridge Ullswater Ferry Landing",346657,524199,"22/01/2013","1058",
"9300POV","Poole Ferry Terminal",400573,89892,"22/01/2013","1058",
"9300PPR","Porth Penrhyn Ferry Landing",261719,315016,"22/01/2013","1058",
"9300PRA","Port Ramsay Lismore Ferry Terminal",189435,746125,"22/01/2013","1058",
"9300PRE","Portree Ferry Terminal",148462,843368,"22/01/2013","1058",
"9300PST","Papa Stour Shetland Ferry Terminal",418174,1160847,"22/01/2013","1058",
"9300PTD","Portishead Pier",347720,177595,"22/01/2013","1058",
"9300PTH","Penarth Pier",319120,171290,"22/01/2013","1058",
"9300PTM","Muck Ferry Terminal",142265,779320,"22/01/2013","1058",
"9300PUT","Putney Pier",524033,175744,"22/01/2013","1058",
"9300PWL","Westray Pierowall Orkney Ferry Terminal",344670,1048995,"22/01/2013","1058",
