"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000410","67977","Dalmally","Dalmally: Glen Orchy Hotel Coach Stop",216355,727262,"22/01/2013","1058","900067977","G290"
"NX000412","90278","Dalwhinnie","Dalwhinnie: Road End Lay by Coach Stop",263965,782913,"22/01/2013","1058","900090278","G291"
"NX000413","70142","Darlington","Darlington: Feethams opp Town Hall Coach Stop",428991,514382,"22/01/2013","1058","900070142","G63"
"NX000415","73061","Darwen","Darwen Bus Station",369292,422202,"22/01/2013","1058","900073061","G292"
"NX000416","39043","Daventry","Daventry Bus Station",457402,262414,"22/01/2013","1058","900039043",
"NX000417","44385","Dawlish","Dawlish Coach Stop",296331,76588,"22/01/2013","1058","900044385","G293"
"NX000419","58126","Deal","Deal: South Street Bus Station",637773,152505,"22/01/2013","1058","900058126","G294"
"NX000420","27044","DERBY","Derby Bus Station",435585,336160,"22/01/2013","1058","900027044","G64"
"NX000422","37244","Dereham","Dereham: Market Place Coach Stop",598876,313412,"22/01/2013","1058","900037244",
"NX000426","46145","Devizes","Devizes: Market Place Coach Stop",400380,161669,"22/01/2013","1058","900046145",
"NX000427","22222","Dewsbury","Dewsbury Bus Station",424433,421543,"22/01/2013","1058","900022222","G295"
"NX000429","85144","DISS","Diss Bus Station",611561,279625,"22/01/2013","1058","900085144","G296"
"NX000431","68381","Distington","Distington (Cumbria): Coach Stop",300673,523572,"22/01/2013","1058","900068381",
"NX000432","43237","Dobwalls","Dobwalls (Cornwall): Coach Stop",221425,65005,"22/01/2013","1058","900043237",
"NX000433","81012","Doncaster","Doncaster: Frenchgate Interchange",457185,403417,"22/01/2013","1058","900081012","G65"
"NX000436","45395","Dorchester","Dorchester: South Rail Station Coach Stop",369201,90041,"22/01/2013","1058","900045395","G9"
"NX000437","93087","Dornie","Dornie (Highland): Bridge Coach Stop",188257,826079,"22/01/2013","1058","900093087",
"NX000439","58136","DOVER","Dover: Town Centre Coach Stops",632026,141747,"22/01/2013","1058","900058136","G66"
"NX000444","75032","Driffield","Driffield: East Yorkshire Bus Garage",502297,457503,"22/01/2013","1058","900075032","G298"
"NX000447","91053","Droitwich","Droitwich Spa: Raven Bus Stop",389910,263190,"22/01/2013","1058","900091053","G299"
"NX000453","19023","Dudley","Dudley Bus Station",394697,290364,"22/01/2013","1058","900019023",
"NX000454","67178","Dumbarton","Dumbarton: Barloan Toll Coach Stop",240585,676200,"22/01/2013","1058","900067178","G301"
"NX000455","67407","Dumfries","Dumfries: Whitesands Coach Stop",296956,576066,"22/01/2013","1058","900067407","G302"
"NX000456","90387","Dunblane","Dunblane: Police Station Coach Stop",278275,700995,"22/01/2013","1058","900090387","G303"
"NX000459","90097","Dundee","Dundee: Seagate Bus Station",340591,730559,"22/01/2013","1058","900090097","G67"
"NX000460","90437","Dunfermline","Dunfermline Bus Station",309060,687580,"22/01/2013","1058","900090437","G322"
"NX000466","70022","Durham","Durham Bus Station",426972,542569,"22/01/2013","1058","900070022","G68"
"NX000474","59506","East Grinstead","East Grinstead: War Memorial Coach Stop",539517,137967,"22/01/2013","1058","900059506","G304"
"NX000475","27114","Derby","East Midlands Airport Coach Stop",445273,325634,"22/01/2013","1058","900027114",
"NX000477","43265","East Taphouse","East Taphouse (Cornwall): Bus Stop",218363,63632,"22/01/2013","1058","900043265",
"NX000478","59116","EASTBOURNE","Eastbourne: Rail Station Coach Stop",561009,99135,"22/01/2013","1058","900059116","G69"
"NX000480","78131","Eastham","Eastham: New Chester Rd Coach Stop",335844,380124,"22/01/2013","1058","900078131",
"NX000481","38304","Eaton","Eaton (Norwich): Newmarket Road Coach Stop",621915,307224,"22/01/2013","1058","900038304",
"NX000482","15445","Ebbw Vale","Ebbw Vale: Inner Bypass Coach Stop",316830,209707,"22/01/2013","1058","900015445",
"NX000483","66228","Edgerston","Edgerston (Scottish Borders): Church Coach Stop",368470,611630,"22/01/2013","1058","900066228",
"NX000484","66157","Edinburgh","Edinburgh: St Andrew Square Bus Station",325705,674233,"22/01/2013","1058","900066157","G70"
"NX000488","78141","Ellesmere Port","Ellesmere Port: Bus Station",339990,375870,"22/01/2013","1058","900078141","G307"
"NX000494","57586","Eltham","Eltham (London): Coach Stop",541474,174620,"22/01/2013","1058","900057586","G308"
"NX000505","65057","Everton Corner","Everton (Hants): Bus Shelter",429283,94002,"22/01/2013","1058","900065057",
"NX000506","18043","Evesham","Evesham Bus Station",403750,243972,"22/01/2013","1058","900018043","G310"
"NX000507","44035","EXETER","Exeter: Bus & Coach Station Paris Street",292502,92896,"22/01/2013","1058","900044035","G71"
"NX000508","44010","Exeter","Exeter: M5 Motorway Services Coach Stop",296755,91842,"22/01/2013","1058","900044010",
"NX000509","44025","Exminster","Exminster Bus Stop",294479,87602,"22/01/2013","1058","900044025",
"NX000514","21129","Failsworth","Failsworth: Oldham Rd Coach Stop",388677,400967,"22/01/2013","1058","900021129",
"NX000516","66097","Falkirk","Falkirk: Callendar Riggs Bus Station",289146,679901,"22/01/2013","1058","900066097","G13"
"NX000518","43165","Falmouth","Falmouth: Berkeley Vale Argos Coach Stop",180585,32825,"22/01/2013","1058","900043165","G325"
"NX000520","64046","Fareham","Fareham Bus Station",457847,106146,"22/01/2013","1058","900064046","G326"
"NX000522","61126","Farnborough","Farnborough (Hants): Farnborough Rd Coach Stop",486966,155337,"22/01/2013","1058","900061126","G14"
"NX000523","61196","Farnham","Farnham: Town Centre Coach Stop",484185,146836,"22/01/2013","1058","900061196","G327"
